Название;Пол;Цвет;Цена;Размер;Бренд;Иерархия
Спортивная толстовка Nike;м;Синий;5700;M;Nike;Спортивная одежда,Спортивные толстовки
Джоггеры Reebok;ж;Синий;6200;S;Reebok;Спортивная одежда,Спортивные брюки,Джоггеры
Рубашка с длинным рукавом Briony;м;Голубой;3000;XL;Briony;Деловая одежда,Рубашки,Рубашки с длинным рукавом
Рубашка с коротким рукавом Briony;ж;Белый;2200;XXL;Briony;Деловая одежда,Рубашки,Рубашки с коротким рукавом
Спортивные шорты Puma;м;Синий;4200;L;Puma;Спортивная одежда,Спортивные шорты
Футболка Lacoste;м;Красный;1400;XXL;Lacoste;Повседневная одежда,Футболки
Лонгслив H&M;м;Красный;2200;L;H&M;Повседневная одежда,Лонгсливы
Футболка H&M;м;Голубой;800;XL;H&M;Повседневная одежда,Футболки
Брюки Hugo Boss;ж;Розовый;14600;L;Hugo Boss;Деловая одежда,Брюки
Тайцы Adidas;м;Голубой;4400;M;Adidas;Спортивная одежда,Спортивные брюки,Тайцы
Тайцы Nike;м;Розовый;3800;XXL;Nike;Спортивная одежда,Спортивные брюки,Тайцы
Джинсы Lacoste;ж;Голубой;17600;XL;Lacoste;Повседневная одежда,Джинсы
Худи Lacoste;ж;Черный;1500;L;Lacoste;Повседневная одежда,Свитеры и кофты,Худи
Пиджак Hugo Boss;м;Красный;14100;XXL;Hugo Boss;Деловая одежда,Пиджаки
Джинсы H&M;ж;Серый;14400;M;H&M;Повседневная одежда,Джинсы
Рубашка с коротким рукавом Corneliani;м;Розовый;4300;L;Corneliani;Деловая одежда,Рубашки,Рубашки с коротким рукавом
Спортивная футболка Nike;ж;Синий;1900;S;Nike;Спортивная одежда,Спортивные футболки
Лонгслив Zara;м;Розовый;2500;L;Zara;Повседневная одежда,Лонгсливы
Худи H&M;м;Белый;1500;M;H&M;Повседневная одежда,Свитеры и кофты,Худи
Пиджак Corneliani;ж;Голубой;10400;M;Corneliani;Деловая одежда,Пиджаки
Футболка Zara;ж;Розовый;2300;XL;Zara;Повседневная одежда,Футболки
Толстовка H&M;м;Синий;2300;L;H&M;Повседневная одежда,Свитеры и кофты,Толстовки
Шорты Zara;м;Красный;2200;XL;Zara;Повседневная одежда,Шорты
Спортивная футболка Adidas;ж;Белый;3300;L;Adidas;Спортивная одежда,Спортивные футболки
Джоггеры Puma;ж;Белый;7400;XXL;Puma;Спортивная одежда,Спортивные брюки,Джоггеры
Лонгслив Lacoste;ж;Серый;1700;XXL;Lacoste;Повседневная одежда,Лонгсливы
Спортивные шорты Nike;м;Розовый;3500;XXL;Nike;Спортивная одежда,Спортивные шорты
Шорты Lacoste;ж;Красный;3700;XXL;Lacoste;Повседневная одежда,Шорты
Свитшот Lacoste;м;Синий;2600;M;Lacoste;Повседневная одежда,Свитеры и кофты,Свитшоты
Спортивная футболка Reebok;м;Серый;3700;M;Reebok;Спортивная одежда,Спортивные футболки
Толстовка Lacoste;ж;Белый;2500;L;Lacoste;Повседневная одежда,Свитеры и кофты,Толстовки
Лонгслив Levi's;ж;Белый;1900;S;Levi's;Повседневная одежда,Лонгсливы
Джоггеры Adidas;м;Розовый;6900;S;Adidas;Спортивная одежда,Спортивные брюки,Джоггеры
Свитшот Levi's;м;Черный;2100;M;Levi's;Повседневная одежда,Свитеры и кофты,Свитшоты
Пиджак Canali;ж;Красный;16600;M;Canali;Деловая одежда,Пиджаки
Брюки Canali;ж;Черный;8400;XL;Canali;Деловая одежда,Брюки
Футболка Levi's;ж;Розовый;2100;S;Levi's;Повседневная одежда,Футболки
Джоггеры Nike;м;Белый;4300;M;Nike;Спортивная одежда,Спортивные брюки,Джоггеры
Джинсы Zara;ж;Белый;4400;M;Zara;Повседневная одежда,Джинсы
Худи Levi's;м;Синий;2200;XL;Levi's;Повседневная одежда,Свитеры и кофты,Худи
Рубашка с длинным рукавом Corneliani;м;Голубой;5300;M;Corneliani;Деловая одежда,Рубашки,Рубашки с длинным рукавом
Рубашка с коротким рукавом Canali;ж;Голубой;2300;L;Canali;Деловая одежда,Рубашки,Рубашки с коротким рукавом
Спортивная толстовка Reebok;ж;Красный;5500;XL;Reebok;Спортивная одежда,Спортивные толстовки
Свитшот Zara;ж;Черный;1900;M;Zara;Повседневная одежда,Свитеры и кофты,Свитшоты
Тайцы Puma;м;Черный;3700;XL;Puma;Спортивная одежда,Спортивные брюки,Тайцы
Рубашка с длинным рукавом Canali;ж;Белый;2300;L;Canali;Деловая одежда,Рубашки,Рубашки с длинным рукавом
